# WorldVision-SLAM 벤치마크 뷰어 매니페스트
# 지표는 python/tools/bench_run.py 가 계산한 값 그대로다.
# SEQ	name	dataset	seq_dir	gt_file	identity_ate_cm
# RUN	name	system	label	kind	ate_cm	rpe_mm	ms_per_frame	frames	status	traj_file
RUN	freiburg1_xyz	wme	WME ECDA (Tier 0)	descriptor-free	1.56	3.89	52.4	250	ok	D:/Program Files/Slam-Model/results/bench/freiburg1_xyz_wme.txt
RUN	freiburg1_xyz	wme_masked	WME + token mask (YOLO)	descriptor-free	1.53	3.89	196.8	250	ok	D:/Program Files/Slam-Model/results/bench/freiburg1_xyz_wme_masked.txt
SEQ	freiburg2_desk	tum	D:/Program Files/Slam-Model/data/rgbd_dataset_freiburg2_desk	D:/Program Files/Slam-Model/data/rgbd_dataset_freiburg2_desk/groundtruth.txt	39.46
RUN	freiburg2_desk	baseline	ORB + PnP (classical)	descriptor	0.98	2.36	39.9	256	ok	D:/Program Files/Slam-Model/results/bench/freiburg2_desk_baseline.txt
RUN	freiburg2_desk	wme	WME ECDA (Tier 0)	descriptor-free	2.38	1.67	44.7	256	ok	D:/Program Files/Slam-Model/results/bench/freiburg2_desk_wme.txt
RUN	freiburg2_desk	wme_masked	WME + token mask (YOLO)	descriptor-free	2.38	1.67	155.8	256	ok	D:/Program Files/Slam-Model/results/bench/freiburg2_desk_wme_masked.txt
SEQ	freiburg2_desk_with_person	tum	D:/Program Files/Slam-Model/data/rgbd_dataset_freiburg2_desk_with_person	D:/Program Files/Slam-Model/data/rgbd_dataset_freiburg2_desk_with_person/groundtruth.txt	19.63
RUN	freiburg2_desk_with_person	baseline	ORB + PnP (classical)	descriptor	0.73	2.27	36.2	258	ok	D:/Program Files/Slam-Model/results/bench/freiburg2_desk_with_person_baseline.txt
RUN	freiburg2_desk_with_person	wme	WME ECDA (Tier 0)	descriptor-free	0.94	1.06	49.7	258	ok	D:/Program Files/Slam-Model/results/bench/freiburg2_desk_with_person_wme.txt
RUN	freiburg2_desk_with_person	wme_masked	WME + token mask (YOLO)	descriptor-free	0.94	1.06	168.6	258	ok	D:/Program Files/Slam-Model/results/bench/freiburg2_desk_with_person_wme_masked.txt
SEQ	freiburg3_nostructure_notexture_far	tum	D:/Program Files/Slam-Model/data/rgbd_dataset_freiburg3_nostructure_notexture_far	D:/Program Files/Slam-Model/data/rgbd_dataset_freiburg3_nostructure_notexture_far/groundtruth.txt	87.90
RUN	freiburg3_nostructure_notexture_far	baseline	ORB + PnP (classical)	descriptor	146.26	7.67	26.4	451	ok	D:/Program Files/Slam-Model/results/bench/freiburg3_nostructure_notexture_far_baseline.txt
RUN	freiburg3_nostructure_notexture_far	wme	WME ECDA (Tier 0)	descriptor-free	87.90	6.86	41.1	451	no_output	D:/Program Files/Slam-Model/results/bench/freiburg3_nostructure_notexture_far_wme.txt
RUN	freiburg3_nostructure_notexture_far	wme_masked	WME + token mask (YOLO)	descriptor-free	87.90	6.86	140.8	451	no_output	D:/Program Files/Slam-Model/results/bench/freiburg3_nostructure_notexture_far_wme_masked.txt
SEQ	freiburg3_nostructure_texture_far	tum	D:/Program Files/Slam-Model/data/rgbd_dataset_freiburg3_nostructure_texture_far	D:/Program Files/Slam-Model/data/rgbd_dataset_freiburg3_nostructure_texture_far/groundtruth.txt	139.61
RUN	freiburg3_nostructure_texture_far	baseline	ORB + PnP (classical)	descriptor	34.12	23.04	26.0	447	ok	D:/Program Files/Slam-Model/results/bench/freiburg3_nostructure_texture_far_baseline.txt
RUN	freiburg3_nostructure_texture_far	wme	WME ECDA (Tier 0)	descriptor-free	7.74	18.89	39.7	447	ok	D:/Program Files/Slam-Model/results/bench/freiburg3_nostructure_texture_far_wme.txt
RUN	freiburg3_nostructure_texture_far	wme_masked	WME + token mask (YOLO)	descriptor-free	7.21	18.91	130.3	447	ok	D:/Program Files/Slam-Model/results/bench/freiburg3_nostructure_texture_far_wme_masked.txt
SEQ	freiburg3_sitting_halfsphere	tum	D:/Program Files/Slam-Model/data/rgbd_dataset_freiburg3_sitting_halfsphere	D:/Program Files/Slam-Model/data/rgbd_dataset_freiburg3_sitting_halfsphere/groundtruth.txt	22.85
RUN	freiburg3_sitting_halfsphere	baseline	ORB + PnP (classical)	descriptor	1.26	5.37	39.6	259	ok	D:/Program Files/Slam-Model/results/bench/freiburg3_sitting_halfsphere_baseline.txt
RUN	freiburg3_sitting_halfsphere	wme	WME ECDA (Tier 0)	descriptor-free	1.50	4.11	36.0	259	ok	D:/Program Files/Slam-Model/results/bench/freiburg3_sitting_halfsphere_wme.txt
RUN	freiburg3_sitting_halfsphere	wme_masked	WME + token mask (YOLO)	descriptor-free	12.54	4.94	122.5	259	ok	D:/Program Files/Slam-Model/results/bench/freiburg3_sitting_halfsphere_wme_masked.txt
SEQ	freiburg3_sitting_xyz	tum	D:/Program Files/Slam-Model/data/rgbd_dataset_freiburg3_sitting_xyz	D:/Program Files/Slam-Model/data/rgbd_dataset_freiburg3_sitting_xyz/groundtruth.txt	19.86
RUN	freiburg3_sitting_xyz	baseline	ORB + PnP (classical)	descriptor	8.85	8.59	35.0	258	ok	D:/Program Files/Slam-Model/results/bench/freiburg3_sitting_xyz_baseline.txt
RUN	freiburg3_sitting_xyz	wme	WME ECDA (Tier 0)	descriptor-free	1.01	4.63	31.5	258	ok	D:/Program Files/Slam-Model/results/bench/freiburg3_sitting_xyz_wme.txt
RUN	freiburg3_sitting_xyz	wme_masked	WME + token mask (YOLO)	descriptor-free	1.03	4.69	129.0	258	ok	D:/Program Files/Slam-Model/results/bench/freiburg3_sitting_xyz_wme_masked.txt
